X,Y,amenity,name,ele,addr:street,addr:housenumber,addr:postcode,addr:state,addr:city,website,phone,wikidata,wheelchair,operator,opening_hours,wikipedia,addr:country
-74.0096401,40.7142840975452,college,DeRose Method Tribeca,,Murray Street,55,10007,,,http://derosetribeca.org/,+1 646 535-5057,,,,,,
-73.5926136,40.7305658975452,college,E Building,,,,,,,,,,yes,,,,
-73.7825945,43.0774808975452,college,Empire State College,,,,,,,,,,,,,,
-77.0363392,42.1332325975452,college,Empire State College,,,,,,,,,,,,,,
-73.5924366,40.7310373975452,college,F Building,,,,,,,,,,yes,,,,
-73.5938245,40.7291849975452,college,G Building,,,,,,,,,,yes,,,,
-78.1347825,42.7480094975452,college,Genesee Community College,,,,,,,,,,,,,,
-78.3811406,43.2066196975452,college,Genesee Community College,,,,,,,,,,,,,,
-77.6966475,42.5579932975452,college,Genesee Community College at Dansville,,,,,,,,,,,,,,
-73.5985058,40.7295287975452,college,Green House,,,,,,,,,,,,,,
-73.5988134,40.7298898975452,college,H Building,,,,,,,,,,limited,,,,
-75.0077778,43.0325000975452,college,Herkimer College,,Reservoir Road,100,13350,,Herkimer,https://www.herkimer.edu/,+1 315 866 0300,Q5739244,,,,en:Herkimer County Community College,
-74.9673988,43.1342339975452,college,Higher Ground Bible College,185,South Main Street,33,13406,NY,Middleville,,315-368-2252,,,,,,
-73.6876308,42.6964666975452,college,Hudson Valley Community College,,Vandenburgh Avenue,80,12180,NY,Troy,,+1 518 6294822,,,,,,
-73.9937706,40.7330264975452,college,Institute of Audio Research,,University Place,64,10003,NY,New York,,,Q6039892,,,,en:Institute of Audio Research,
-78.4286111,42.0811111975452,college,Jamestown Community College Cattaraugus County Campus,,North Union Street,260,14760,,Olean,http://www.sunyjcc.edu/,+1 716 376 7500,,,,,,
-73.9350376,40.7445161975452,college,"Joseph Shenker Hall - ""M"" Building",,,,,,,,,,,,,,
-73.9983623,40.7513768975452,college,Kaufman Hall - Fashion Institute of Technology,,,,,,,,,,,,,,
-73.5934649,40.7320689975452,college,K Building,,,,,,,,,,yes,,,,
-73.7155858,41.0313935975452,college,Manhattanville College,,Purchase Street,2900,10577,,Purchase,https://www.mville.edu/,914-694-2200,Q14706889,,,,en:Manhattanville College,
-73.9597556,40.7687028975452,college,Marymount Manhattan College,,,,,,,,,Q3296302,,,,,
-73.5990015,40.7308619975452,college,Media,,,,,,,,,,,,,,
-73.7476809,42.6734810975452,college,Memorial College of Nursing,,Northern Boulevard,600,12204,,Albany,http://www.sphp.com/memorial-college-of-nursing,+1 518 471 3260,,,,,,
-73.9153259,40.8152756975452,college,Metropolitan College of New York - Bronx Campus,,,,,,,,,,,Metropolitan College of New York,,,
-73.7887711,42.6805669975452,college,Mildred Elley,,,,,,,,,,,,,,
-73.5967464,40.7295968975452,college,M Nassau Hall,28,,,,NY,,,,,limited,,,,
-77.6777927,43.0859464975452,college,Multidisciplinary Vision Research Laboratory (MVRL),,,,,,,,,,,,,,
-73.8216292,40.9428191975452,college,Music Terrace,65,,,,,,,,,,,,,
-73.5910817,40.7355883975452,college,NCC North Annex,,,,,,,,,,yes,,,,
-73.6386952,40.7397084975452,college,New York College of Traditional Chinese Medicine,,"Old Country Road, Suite 500",200,11501,NY,Mineola,,,,,NYCTCM,,,
-73.9887389,40.7362396975452,college,New York Film Academy,,,,,,,,,Q1006950,,,,en:New York Film Academy,
-73.9972548,40.7322674975452,college,"New York Studio School of Drawing, Painting and Sculpture",7,,,,,,,,Q7014742,,,,"en:New York Studio School of Drawing, Painting and Sculpture",
-73.5982349,40.7309750975452,college,N North Hall,29,,,,NY,,,,,yes,,,,
-74.1206065,44.3191657975452,college,North Country Community College,,Santanoni Avenue,23,12983,,Saranac Lake,http://www.nccc.edu/,,Q7054934,,,,,
-77.6002244,43.0875808975452,college,NY Chiropractic College,,Jefferson Road,1200,14623,NY,Rochester,http://www.rochesterhealthcenter.com/,+1-585-292-0642,,yes,,,,
-73.5699483,41.6377725975452,college,Olivet University,,,,,,,,,,,,,,
-76.2312395,43.1582965975452,college,Onondaga Community College @ Liverpool,,Oswego Road,8015,13090,NY,Liverpool,http://www.sunyocc.edu/index.aspx?id=34636,+1-315-498-6080,,,,,,
-74.4266667,41.4388889975452,college,Orange County Community College,175,,,,,,,,,,,,,
-73.5917294,40.7290171975452,college,P Building,,,,,,,,,,yes,,,,
-73.9922855,40.7429616975452,college,Project Management Academy New York,,West 23rd Street,71,10010,NY,New York,https://projectmanagementacademy.net/pmp-certification/new-york,8776370450,,,,,,
-73.5980317,40.7300495975452,college,Q Building,,,,,,,,,,yes,,,,
-73.5959083,40.7305538975452,college,Quadrangle,28,,,,,,,,,,,,,
-77.6005004,43.0875983975452,college,Roberts Wesleyan College,,Jefferson Road,1200,14623,NY,Rochester,https://www.roberts.edu/about/visiting-roberts/jefferson-rd-ext-ctr/,,,yes,,,,
-74.4078261,41.4274277975452,college,Robkat Inc [real estate school],,Dolsontown Road,1259,10940,NY,Middletown,,203-847-4900,,,,,,
-77.606524,43.1597317975452,college,Saint Josephs High School,162,,,,,,,,,,,,,
-77.6772131,43.0829815975452,college,Saunders College of Business,,,,,,,,,Q5322094,,,,,
-73.9496939,42.8156637975452,college,SCCC Center For Science And Technology,68,,,,NY,,,,,,,,,
-73.5975928,40.7293068975452,college,S South Hall,29,,,,NY,,,,,limited,,,,
-73.9900726,40.7299442975452,college,St. John's University,,Astor Place,101,10003,,,https://www.stjohns.edu/about/campuses-locations/manhattan-campus,+1-718-990-2000,,,,,,
-73.592348,40.7297682975452,college,T Buliding,,,,,,,,,,yes,,,,
-73.9600302,40.8101651975452,college,TC Courtyard,,,,,,,,,,no,,,,
-73.9453371,40.6800379975452,college,The College of New Rochelle,,,,,,,,,,,,,,
-74.0123807,40.7066535975452,college,The King's College,,Broadway,56,10004,,New York,https://www.tkc.edu/,+1 212-659-7200,,,,,,
-73.9621683,40.6069130975452,college,Touro College,,,,,,,,,,,,,,
-78.8127639,42.8467327975452,college,Trocaire College,,Choate Avenue,360,14220,,Buffalo,https://trocaire.edu/,+1 716 826 1200,Q7844818,,,,en:Trocaire College,
-73.5951564,40.7285983975452,college,U Building,,,,,,,,,,yes,,,,
-73.8956971,41.6867860975452,college,Vassar College,51,Raymond Avenue,124,,NY,Poughkeepsie,,,Q2093794,,,,en:Vassar College,
-73.5972565,40.7310109975452,college,V Building,,,,,,,,,,yes,,,,
-73.7906885,41.0687078975452,college,Westchester Community College,,Grasslands Road,75,10595,,Valhalla,http://www.sunywcc.edu/,914-606-6600,Q7987232,,,,en:Westchester Community College,
-73.5956928,40.7324520975452,college,Y Building,,,,,,,,,,limited,,,,
-73.9212298,40.7439406975452,driving_school,A Club Driving School,,43rd Street,43-45,,,,,,,,,,,
-73.9388833,40.6799420975452,driving_school,Adams Auto,,Fulton Street,1561,,NY,Brooklyn,,,,,,,,
-73.8644386,41.1607418975452,driving_school,All Northern Westchester Driving School,,Main Street,119,10562,,,http://allwestchesterdriving.net,+1-914-923-0100,,,,,,
-73.8558273,40.8741951975452,driving_school,Al Sorano's Professional Truck Driving School,,Gun Hill Road,1059,,,,,,,,,,,
-73.7341404,40.6642333975452,driving_school,Audrey's Driving School,,Francis Lewis Boulevard,246-07,,,,,,,,,,,
-73.7603829,40.7204280975452,driving_school,Driving of NY,,Hillside Avenue,204-18,,NY,Hollis,,,,,,,,
-73.9768117,40.6359764975452,driving_school,Driving School,,Ditmas Avenue,201,,,,,,,,,,,
-73.919806,40.7582103975452,driving_school,Ferrari Driving School,,Steinway Street,32-32,,,,,+1-718-278-6679,,,,"Mo-Th 07:30-21:00; Fr 07:30-19:30; Sa 09:00-17:30; Su 09:00-16:00",,
-73.9198141,40.7582247975452,driving_school,Ferrari Driving School,,Steinway Street,32-32,,,,,,,,,,,
-73.985618,40.6690528975452,driving_school,Gheith Brokerage,,,,,,,,+1-718-768-8064,,,,,,
-73.9247121,40.8666566975452,driving_school,Golden Key Driving School,,4847 Broadway,,10034,NY,New York,http://www.goldenkeydriving.school/,+1-646-435-1142,,,,,,
-73.8970494,40.9048489975452,driving_school,Gotham Driving School,,Mosholu Avenue,5810,,,,https://www.gothamdriving.com/,+1-718-548-2300,,,,,,
-76.1936955,43.1403211975452,driving_school,National Tractor Trailer School,,Buckley Road,4650,13088,NY,Liverpool,,,,,,,,
-73.913096,40.7659883975452,driving_school,New Yorker Driving school,,Steinway Street,25-77,11103,NY,Astoria,,,,,,,,
-73.8923372,40.7011114975452,driving_school,One Way Driving LLC,,Myrtle Avenue,64-01,,,,http://onewaydrivingny.com/,+1-917-676-8271,,,,Mo-Sa 11:00-20:00,,
-73.8591971,41.0635985975452,driving_school,"PAS Auto School, Inc.",,White Plains Road,505,10591,NY,Tarrytown,http://www.pasautoschool.com/,+1 914 3327700,,,,,,
-73.9792229,40.6779886975452,driving_school,Red Hook on the Road,,,,,,,https://bwiny.org/red-hook-on-the-road/overview/,+1-718-237-4846,,,Brooklyn Workforce Innovations,,,
-73.8568002,40.6927491975452,driving_school,Trama's Auto School,,Jamaica Avenue,87-15,,,,,,,,,,,
-73.9127642,40.7746608975452,driving_school,Zapiti Enterprises,,31st Street,22-74,,,,,+1-718-274-5100,,,,,,
-73.9903961,40.6670840975452,kindergarten,14th Street Preschool,,,,,,,,,,,,,,
-73.9814557,40.7431592975452,kindergarten,Alpha Bet Preschool of Murray Hill,,,,,,,,+1-917-750-8720,,,,,,
-73.6715541,40.6530851975452,kindergarten,Atlantic Avenue Elementary School,6,,,,,,,,,,,,,
-73.904108,40.6896704975452,kindergarten,Audrey Johnson Day Care Center,,Moffat Street,272,,,,https://www.schools.nyc.gov/schools/KBMB,+1-718-574-0130,,,,,,
-74.0262655,40.6263308975452,kindergarten,Bambi Day Care,,,,,,,,,,,,,,
-73.9847271,40.6673106975452,kindergarten,Beansprouts,,6th Avenue,454-456,11215,,,https://www.beansproutsnurseryschool.com,+1-718-965-8573,,,,,,
-73.9835953,40.6689363975452,kindergarten,Beansprouts,,8th Street,351,11215,NY,Brooklyn,,,,,,,,
-73.9840995,40.6676045975452,kindergarten,Beansprouts,,,,,,,https://www.beansproutsnurseryschool.com,+1-718-965-8573,,,,,,
-73.9844742,40.6676412975452,kindergarten,Beansprouts,,,,,,,https://www.beansproutsnurseryschool.com,+1-718-965-8573,,,,,,
-73.9653271,40.6830264975452,kindergarten,Bija Kids,,Fulton Street,900,11238,NY,Brooklyn,,,,,,,,
-73.9852519,40.6869049975452,kindergarten,Blue Studios,,,,,,,https://www.bluestudios.io,+1-718-853-4038,,,,"Mo-Fr 15:00-19:00; Sa 10:00-14:00",,
-73.9885712,40.6929697975452,kindergarten,Bright Horizons,,Adams Street,345,11201,,,,+1-718-488-7770,,,,,,
-74.0085955,40.7048920975452,kindergarten,Bright Horizons Child Care & Early Education,,,,,,,,,,,,,,
-73.9278836,40.7694965975452,kindergarten,Bright Start,,,,,,,,,,,,,,
-73.9888755,40.6657557975452,kindergarten,Brooklyn Apple Academy,,,,,,,,,,,,,,
-73.9807845,40.6720889975452,kindergarten,Brooklyn Free Space,,,,,,,,+1-718-965-3135,,,,,,
-73.9874435,40.6641963975452,kindergarten,Brooklyn Sandbox,,,,,,,http://brooklynsandbox.com,+1-718-369-0033,,,,,,
-73.994262,40.6635214975452,kindergarten,Brooklyn Treehouse Preschool,,,,,,,,,,,,,,
-74.9758087,44.6791280975452,kindergarten,Building Blocks Day Care,,,,,,,,,,,,,,
-73.9888865,40.6883370975452,kindergarten,Carmelo the Science Fellow,,,,,,,http://carmelothesciencefellow.com,+1-718-722-0000,,,,,,
-73.9847727,40.6628254975452,kindergarten,Chickpeas,,,,,,,https://www.chickpeas.org,+1-347-878-8732,,,,,,
-73.9995893,40.6743534975452,kindergarten,Choo Choo Train Project,,,,,,,https://choochootrainproject.com,+1-718-797-9050,,,,Mo-Fr 08:00-15:50,,
-73.68493,42.7386126975452,kindergarten,Commission on Economic Opportunity Head Start,,,,,,,,,,,,,,
-73.9773505,40.6830302975452,kindergarten,Created By Kids,,Pacific Street,592,11217,,,http://createdbykidsnyc.com,+1-718-857-5437,,,,,,
-74.0032449,40.6845750975452,kindergarten,Creative Arts Studio,,Union Street,119,11231,,,,,,,,,,
-73.9895326,40.6735203975452,kindergarten,Curious Jane,,,,,,,http://curiousjanemagazine.com,,,,,,,
-74.3621475,41.4774357975452,kindergarten,Cynthia Vogt-Cain [Group Family Day Care],,Rondack Road,30,10941,NY,Middletown,,(845) 695-1109,,,,,,
-77.4443841,43.2094881975452,kindergarten,Doodle Bugs!,,Jackson Road,979,14580,,,,,,,,,,
-73.7748163,40.7146484975452,kindergarten,Early Sunrise Preschool & Kindergarden,,Hillside Avenue,187-10,,NY,Hollis,,+1-718-736-9064,,,,,,
-73.8808333,40.8261111975452,kindergarten,East Bronx NAACP Day Care Center,5,,,,NY,,,,,,,,,
-73.9791934,40.6780326975452,kindergarten,Eladia's Kids,,5th Avenue,147,11217,,,https://eladiaskids.com,+1-718-622-3316,,,,,,
-73.9818178,40.6796191975452,kindergarten,Fastrackids,,,,,,,https://ftkny.com/learning-centers/park-slope-gowanus-fastrackids-learning-center/,+1 718 260 8100,,,,,,
-74.0013889,40.6747222975452,kindergarten,Fiesta de los Ninos Day Care Center,5,,,,NY,,,,,,,,,
-73.980756,40.6763802975452,kindergarten,Fig Tree,,Union Street,688,11215,,,http://www.figtreeprogram.com,+1-917-523-4685,,,,,,
-73.9896426,40.6655605975452,kindergarten,Giocare Play School,,,,,,,https://giocareplayschool.com,+1-347-827-1372,,,,,,
-73.7860247,43.0938344975452,kindergarten,Greenberg Child Care Center,121,,,,NY,,,,,,,,,
-73.7080998,42.5961736975452,kindergarten,Greenbush Child Caring,,,620,,NY,East Greenbush,,,,,,,,
-73.9064273,41.7233836975452,kindergarten,Greenspan Day Care Center,86,,,,NY,,,,,,,,,
-73.9868686,40.6722108975452,kindergarten,Gymboree,,4th Avenue,365,11215,,,https://gymboreeclasses.com,+1-718-788-7808,,,,,,
-73.5858333,40.6497222975452,kindergarten,Hi-Hello Child Day Care Center,4,,,,NY,,,,,,,,,
-73.9898544,40.6656807975452,kindergarten,Honeydew Drop,,,,,,,https://honeydewdrop.com,,,,,Mo-Fr 08:00-18:00,,
-73.6995461,42.3952667975452,kindergarten,House of History,77,,,,NY,,,,,,,,,
-73.976747,40.6743373975452,kindergarten,Huggs,,,,,,,http://huggsdayschool.com,+1 718 230 5255,,no,,,,
-73.6901205,42.3778621975452,kindergarten,Ichabod Crane Community House,76,,,,NY,,,,,,,,,
-75.9366667,43.9905556975452,kindergarten,John T. Henderson Childcare Center,134,,,,NY,,,,,,,,,
-73.9833019,40.6725317975452,kindergarten,Juguemos a Cantar,,,,,,,http://www.juguemos.org,+1-917-453-1187,,,,,,
-73.9678346,40.6366473975452,kindergarten,Kaleidoscope Early Childhood Development Center,,Coney Island Avenue,843,11218,NY,Brooklyn,,,,,,,,
-73.9826417,40.6577210975452,kindergarten,Kids-Centric,,,,,,,https://www.kids-centric.com,+1-718-499-8399,,,,,,
-73.9965532,40.6813820975452,kindergarten,Kidville,,Court Street,380,11231,NY,Brooklyn,,+1-718-522-1100,,,,,,
-73.975866,40.6744388975452,kindergarten,Kidville,,Union Street,808,11215,NY,Brooklyn,http://kidville.com/parkslope,+1 718 569 2150,,,,,,
-73.8213519,42.8676941975452,kindergarten,Kindercare Learning Center,,,,,,,,,,,,,,
-73.6718813,40.6529456975452,kindergarten,Kindergarten Center at Atlantic Avenue Elementary School,6,,,,,,,,,,,,,
-73.9858673,40.6705027975452,kindergarten,Kinderhaus,,,,,,,http://kinderhausbrooklyn.com,+1-347-464-8241,,,,,,
-73.9791903,40.6739947975452,kindergarten,Kinderhaus,,,,,,,http://kinderhausbrooklyn.com,+1-347-464-8241,,,,,,
-73.9961637,40.6777999975452,kindergarten,Ladybug Preschool,,,,,,,https://www.ladybug-preschool.com,+1-347-689-4622,,,,Mo-Fr 08:00-18:00,,
-73.6516203,40.7379739975452,kindergarten,Learn & Play Daycare,,Herricks Road,80,11501,,,https://learnandplayny.com/,,,,,,,
-73.9800856,40.6813164975452,kindergarten,Les Loulous de Napié,,,,,,,https://lesloulousdenapie.com,+1-347-513-8164,,,,,,
-74.4433942,41.4296499975452,kindergarten,Little Flowers Child Care Center,,Walnut Lane,30,10940,NY,Middletown,,845) 343-6225,,,,,,
-78.7298344,42.9907776975452,kindergarten,Little Star Child Daycare,,MacArthur Drive,5,14221,NY,Limonsylvania,,,,,,,,
-74.4747848,41.4692236975452,kindergarten,Mama's Daycare,,Reservoir Road,206,10940,NY,Middletown,,(732) 768-0339,,,,,,
-74.4213036,41.4400451975452,kindergarten,Mirna Caballero [Group Family Day Care],,,,,,,,(646) 262-2060,,,,,,
-73.9695453,40.6769871975452,kindergarten,Montessori Day School of Brooklyn,,Park Place,237,11238,,,https://www.montessoridayschool.org,+1 718 398 2322,,,,,,
-73.9714426,40.6727371975452,kindergarten,Mozarts and Einsteins Preschool,,,,,,,,,,,,,,
-74.4705811,41.4684664975452,kindergarten,"My Little Angels Daycare, LLC",,Reservoir Road,148,10940,NY,Middletown,,,,,,,,
-73.9526227,40.7466644975452,kindergarten,My Treehouse,,,,,,,,,,,,,,
-73.9787312,40.6787276975452,kindergarten,nykidsclub,,5th Avenue,125,11217,,,https://nykidsclub.com/,+1 718 857 0700,,,,,,
-73.9552146,40.7475223975452,kindergarten,NY Kids Club,,Center Boulevard,4545,11109,NY,Long Island City,https://nykidsclub.com/NYC-Kids-Club/location/long-island-city,,,,,,,
-73.9919417,40.6855639975452,kindergarten,Open House,,Warren Street,318A,11201,,,http://openhousekids.org,+1-718-625-5252,,,,,,
-78.7435403,42.7637426975452,kindergarten,Orchard Park Cooperative School,,,,,,,,,,,,,,
-73.9518697,40.6948980975452,kindergarten,Our Children The Leaders of Tomorrow,,,,,,,,+1-718-643-8201,,,,,,
-73.7704603,42.8552865975452,kindergarten,Pal's,,,,,,,,,,,,,,
-73.9844202,40.6637306975452,kindergarten,Parker's Place,,,,,,,http://olivetreehousegroup.com/our-schools/parkers-place/,,,,,,,
-73.9744775,40.6764431975452,kindergarten,Park Slope Child Care Collective,,,,,,,http://psccc.org/,+1 718 399 0397,,,,,,
-73.9896644,40.6654093975452,kindergarten,Park Slope Schoolhouse,,5th Avenue,556,11215,,,https://www.parkslopeschoolhouse.org,+1-718-768-4873,,,,,,
-73.983457,40.6648810975452,kindergarten,Peaceful Path Collective,,,,,,,,+1-347-331-6057,,,,Mo-Fr 08:00-18:00,,
-73.7414035,40.6766011975452,kindergarten,Pre School,,Merrick Boulevard,228-21,11413,NY,,,+1-718-525-6194,,,,,,
-73.9900468,40.6840102975452,kindergarten,Preschool of America,,Baltic Street,382,11201,,,,,,,,,,
-73.9503869,40.7863421975452,kindergarten,Preschool of America,,Lexington Ave,1501,,,,http://www.preschoolofamerica.us,(212) 987-3700,,,Preschool of America,Mo-Fr 08:00-18:00,,
-73.8995973,40.8164175975452,kindergarten,Prospect Family Support Center,,Kelly Street,730,10455,,Bronx,http://www.familysupportnyc.org/,+1 212 222 5437,,,,,,
-73.6547019,43.3496540975452,kindergarten,Robert L Hutchinson Child Care Center,,,,,,,,,,,,,,
-73.9982828,40.6928902975452,kindergarten,Saint Ann's Preschool,,Willow Place,26,11201,,,https://saintannsny.org/divisions-and-offices/divisions/preschool/,,,,,,,
-73.6721731,42.7334588975452,kindergarten,Samaritan Rensselaer Childrens Center,,,,,,,,,,,,,,
-73.9826364,40.7358326975452,kindergarten,Samuel J. Heyman Early Childhood Center,,2nd Avenue,337,10003,,,,,,,,,,
-73.8874856,40.6634888975452,kindergarten,St. Martin's Nursery & Kindergarten School,,Van Siclen Avenue,657,11207,NY,Brooklyn,http://stmartinsnurseryandkindergarten.net,+1-718-927-2363,,,,,,
-73.9732728,40.7449552975452,kindergarten,St Vartan Play Group Preschool,,,,,,,,+1-212-447-6035,,,,,,
-73.9812203,40.6755462975452,kindergarten,Sunflower Academy,,,,,,,http://www.sunflowerchildcarecenter.com,+1-718-783-0738,,,,,,
-73.9837151,40.6843387975452,kindergarten,The Language and Laugther Studio,,,,,,,,,,,,,,
-73.9865629,40.6765467975452,kindergarten,The Little Brooklyn Pre-K Center,,3rd Avenue,305-307,11215,,,,,,,,,,
-73.9853643,40.6740251975452,kindergarten,Ume Ume,,,,,,,http://umeumearts.com,+1 718 768 0800,,,,,,
-73.9678437,40.7932026975452,kindergarten,Upper Valley Preschool,,West 96th Street,103,10025,NY,New York,http://www.uppervalleypreschool.org/,,,,,,,US
-76.439548,42.4542384975452,kindergarten,Varna After School Program,,,,,,,,,,,,,,
-73.9791702,40.7477044975452,kindergarten,Wee Ones Club,,,,,,,https://www.weeonesclub.com,+1-212-779-3434,,,,,,
-73.7132915,41.2383145975452,kindergarten,yishivah gadoleh building,,,,,,,,,,,,,,
-74.0032967,40.6845904975452,kindergarten,,,,,,,,https://www.elitemindsmontessori.com,+1-347-916-1433,,,,,,
-73.8489955,40.9173293975452,kindergarten,,,,,,,,,,,,,,,
-74.0672674,40.5912529975452,kindergarten,,,,,,,,,,,,,,,
-75.515168,42.8996151975452,kindergarten,,,,,,,,,,,,,,,
-77.5751372,43.1469951975452,kindergarten,,,,,,,,,,,,,,,
-73.9940787,40.7184993975452,language_school,Academy of Literary Circles,,Grand Street 3F,246,10002,NY,New York,http://www.grammartutors.com,+1-917-450-3211,,,,,,
-73.9551217,40.7130641975452,language_school,French Language School,,Marcy Avenue,38,,,,,,,,,,,
-73.9892864,40.7436696975452,language_school,GEOS Languages Plus,,,,,,,,001 646-6740001,,,,09:00-17:00,,
-73.8950264,40.7025368975452,language_school,German-American School,,Fresh Pond Road,70-01,,,,https://german-american-school.org/,+12127877543,,,,,,
-73.9935123,40.6863955975452,language_school,Idlewild,,Warren Street,249,11201,,,https://www.idlewildbooks.com/,+1-212-414-8888,,,,,,
-73.997102,40.7424158975452,language_school,Idlewild books,,7th Avenue,170,10011,,,https://www.idlewildbooks.com,+1-212-414-8888,,,,"Mo-Th 12:00-20:00; Fr-Su 12:00-18:00",,
-73.9838282,40.6706701975452,language_school,Juguemos a Cantar,,,,,,,http://www.juguemos.org,+1-917-453-1187,,,,,,
-73.9817904,40.6834738975452,language_school,Lango,,3rd Avenue,93,11217,,,https://langokidsnyc.com,+1-917-300-8789,,,,,,
-73.8867656,40.7469948975452,language_school,Zoni Language Center,,79th Street,40-01,,,,,,,,,,,
-77.73885,42.3185200975452,library,20th Century Club Library,,Main Street,40,14804,NY,Almond,,,,,,,,
-73.9691028,40.7619839975452,library,58th Street Library,,East 58th Street,127,10022,,New York,https://www.nypl.org/locations/58th-street,+1 212-759-7358,Q17018044,limited,New York Public Library,"Mo-Th 10:00-19:00; Fr, Sa 10:00-17:00",en:List of New York Public Library Branches,
-76.01461,43.8737500975452,library,Adams Center Free Library,,South Harbor Road,18267,13606,NY,Adams Center,,,,,,,,
-76.0242556,43.8094328975452,library,Adams Free Library,,North Main Street,2,13605,NY,Adams,,,,,,,,
-77.2339743,42.1045681975452,library,Addison Public Library,,South Street,6,14801,NY,Addison,,,,,,,,
-75.5286294,42.2253046975452,library,Afton Free Library,,Main Street,105-A,13370,,Afton,http://libraries.4cls.org/afton/,+1 607 639 1212,,,,"Mo,Tu 12:00-17:00; Th 12:00-20:00; Fr 09:00-17:00; Sa 09:00-13:00",,
-79.4427778,42.3883333975452,library,Ahira Hall Memorial Library,225,,,,NY,,,,,,,,,
-74.693816,44.9788372975452,library,Akwesasne Cultural Center,,State Route 37,,13655,,Hogansburg,http://akwesasneculturalcenter.org/,+1 518 358 2240,Q4702018,,,,en:Akwesasne Cultural Center,
-73.7781446,42.6429879975452,library,Albany Public Library - Delaware Branch,,,,,,,,,,,,,,
-73.7399726,42.6740774975452,library,Albany Public Library - North Albany Branch,,,,,,,,,,,,,,
-74.347853,41.2533505975452,library,Albert Wisner Memorial Library,162,,,,NY,,,,,yes,,,,
-79.73158,42.1235500975452,library,Alexander Findley Community Library,,North Road,2883,14736,NY,Findley Lake,,,,,,,,
-77.51519,42.8423700975452,library,Allens Hill Free Library,,Allens Hill Road,3818,14469,NY,Holcomb,,,,,,,,
-74.0319095,42.7013364975452,library,Altamont Free Library,,Park Street,105,12009,NY,Altamont,,,,,,,,
-73.5558333,41.8500000975452,library,Amenia Free Library,170,,,,NY,,,,,,,,,
-74.1907295,42.9375840975452,library,Amsterdam Free Library,,,,,NY,,,,,,,,,
-79.1677778,42.5425000975452,library,Anderson-Lee Library,180,Main Street,43,,NY,Silver Creek,http://www.andersonleelibrary.com/,,,,,,,
-74.78584,42.1889100975452,library,Andes Public Library,,Main Street,242,13731,NY,Andes,,,,,,,,
-77.79538,42.1572200975452,library,Andover Free Library,,Main Street,16,14806,NY,Andover,,,,,,,,
-73.9933185,40.7405048975452,library,Andrew Heiskell Braille and Talking Book Library,,West 20th Street,40,10011,,New York,http://www.nypl.org/locations/heiskell,(212) 206-5400,Q17018044,yes,New York Public Library,,en:List of New York Public Library Branches,
-78.0195514,42.3069181975452,library,Angelica Free Library,,West Main Street,55,14709,NY,Angelica,,,,,,,,
-79.0279789,42.6390434975452,library,Angola Public Library,,North Main Street,34,14006,NY,Angola,,,,,,,,
-78.78423,42.9135000975452,library,Anna M. Reinstein Memorial Library (Cheektowaga),,Harlem Road,2580,14225,NY,Cheektowaga,,,,,,,,
-76.08666,43.6416500975452,library,Annie Porter Ainsworth Memorial Library,,South Main Street,6064,13145,NY,Sandy Creek,,,,,,,,
