X,Y,tourism,name,addr:street,addr:housenumber,addr:postcode,website,addr:city,information,addr:state,operator,phone,description,wikidata,ele,artwork_type,hiking,wheelchair,name:en,internet_access,opening_hours,wikipedia,artist_name,email,addr:country,start_date,amenity,attraction,direction_south,direction_southwest,direction_northeast,direction_southeast,direction_west,direction_north,smoking,board_type,direction_east,internet_access:fee,direction_northwest,ref,rooms
-73.990249,40.7577579975452,apartment,End ireh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9503785,40.7975494975452,apartment,Ergie,Central Park North,"21, app1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8581941,40.7382207975452,apartment,Forest Hills Chateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8768212,40.7381932975452,apartment,Grandview Towers,Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.94739,40.8061378975452,apartment,Green’s house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8743377,40.7392182975452,apartment,Gregory Hall,51st Avenue,88-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.991114,40.7572811975452,apartment,Greyhoundiin bus stop irsen gazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9399969,40.7493312975452,apartment,Heatherwood Luxury Rentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9560688,43.0172794975452,apartment,Heron Point Apartment Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6993646,40.6398776975452,apartment,Hewlett Houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8188982,40.7511096975452,apartment,Holly House,Holly Avenue,140-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8447771,40.8979307975452,apartment,Home,,,10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9685071,43.0199906975452,apartment,Islandview Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8776064,40.7410549975452,apartment,James House,Dongan Avenue,86-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9297679,40.6535775975452,apartment,joslyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6581805,40.6404989975452,apartment,Marina Pointe Condominium and Villas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8225979,40.7514808975452,apartment,New York Armenian Home,45th Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9553904,43.0153115975452,apartment,Nottingham Estates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9935691,40.6866092975452,apartment,Novo,,,,https://www.staynovo.com,,,,,+1-888-515-3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9780182,40.7438752975452,apartment,Novo,,,,https://www.staynovo.com,,,,,+1-888-515-3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9767878,40.7485889975452,apartment,Novo,,,,https://www.staynovo.com,,,,,+1-888-515-3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7113754,40.6757443975452,apartment,parents,Stephen Place,1430,11580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6972006,40.6827919975452,apartment,parents,Stephen Place,1430,11580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9405894,40.6987785975452,apartment,Park Avenue Apartments,Park Avenue,869,11206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.882305,40.7371159975452,apartment,Pineville House,Van Kleeck Street,51-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9018462,40.7441827975452,apartment,Queens Landmark,Woodside Avenue,62-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7590742,40.6064103975452,apartment,Rachael Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7368392,40.7308862975452,apartment,Royal Oak Garden Apartments,Winchester Boulevard,87-16,,,,,,,7187764477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9216491,41.2311921975452,apartment,Springvale Apartments,Skytop Drive,2,10 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8675057,40.7313692975452,apartment,Sterling Apartments,Saunders Street,61-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9627407,40.7580573975452,apartment,Stonehenge 57,East 57th Street,400,10022,,New York,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9566508,40.6195197975452,apartment,Tair (NYC),,1270,,,,,,,+1 (929) 289-6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.878568,40.7386359975452,apartment,The Arkansas,51st Avenue,84-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.822428,40.7509633975452,apartment,The Auburn,45th Avenue,137-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6841269,40.6559450975452,apartment,The Bristol Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8407468,40.7173798975452,apartment,The Brosvenor Square,Burns Street,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9950484,40.7099419975452,apartment,the Humphrey loft,Water Street,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9409834,40.7504485975452,apartment,The Independent,Crescent Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8180695,40.7629687975452,apartment,The Mews at Roosevelt Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8213254,40.7517119975452,apartment,The Stratton,45th Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8225031,40.7503781975452,apartment,The Tulane,Colden Street,45-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0064134,40.7047594975452,apartment,WeLive,Wall Street,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.006302,40.6474239975452,apartment,Willy & Mical,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9249,40.7648215975452,apartment,Windsor Gardens,31st Avenue,29-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9171153,42.8327441975452,apartment,Yates Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.988182,40.6051136975452,apartment,,79th Street,2253,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9711404,40.6934714975452,apartment,,Clermont Avenue,150,11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9143638,42.0988767975452,apartment,,Court Street,25,13901,,Binghamton,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9143411,42.0988770975452,apartment,,Court Street,26,13901,,Binghamton,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8864321,42.6650832975452,apartment,,North Main Street,8121,14057,,Eden,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9142196,40.8438907975452,apartment,,Townsend Avenue,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9958124,40.5737524975452,apartment,,West 30th Street,2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7872706,40.7370601975452,apartment,,,64-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0753501,40.6417105975452,apartment,,,,10301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9389486,40.5860813975452,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9532517,40.7818125975452,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9028958,40.9187928975452,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8836124,42.9070945975452,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.65672,40.9174194975452,aquarium,Penguin Exhibit,,,,,,,,Atlantis Marine World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0135288,40.7284564975452,aquarium,The River Project Wetlab,,,,,,,,The River Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9859974,42.8093192975452,aquarium,Via Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7879526,42.6636709975452,art_gallery,Esther Massry Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8761717,42.8936169975452,art_gallery,Starlight Studio and Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7541054,42.6585303975452,arts_centre,Albany Barn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.876876,42.9084825975452,arts_centre,Benjaman Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,arts_centre,,,,,,,,,,,,,,
-75.6500017,42.1071593975452,artwork,16-17 mile marker from possible priesthood site ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.4126241,41.2768416975452,artwork,1910 house,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9420511,40.8471900975452,artwork,3000 A.D. Diffusion Piece,,,,,,,,,,,,,sculpture,,,,,,,Terry Fugate-Wilcox,,,,,,,,,,,,,,,,,,
-73.9764403,40.7737621975452,artwork,7th Regiment Memorial,,,,http://www.centralparknyc.org/things-to-see-and-do/attractions/7th-regiment-memorial.html,,,,,,,Q4644132,,statue,,,,,,en:7th New York Militia,John Quincy Adams Ward,,,1874-06,,,,,,,,,,,,,,,
-73.8026306,40.7028301975452,artwork,Absent Monuments,,,,,,,,,,,,,sculpture,,,,,,,Rose DeSiano,,,2018-06,,,,,,,,,,,,,,,
-77.6266579,43.1212941975452,artwork,ADream of Two Snakes (DNA),,,,,,,,,,,,,sculpture,,,,,,,Ilan Averbuch,,,,,,,,,,,,,,,,,,
-73.964572,40.7810330975452,artwork,Alexander Hamilton,,,,,,,,,,,Q178903,,statue,,,,,,en:Alexander Hamilton,,,,,,,,,,,,,,,,,,,
-73.9732853,40.7794533975452,artwork,Alexander von Humboldt,,,,,,,,,,,Q6694,,bust,,,,,,en:Alexander von Humboldt,Gustav Blaeser,,,1869,,,,,,,,,,,,,,,
-73.9665308,40.7750393975452,artwork,Alice in Wonderland Statue,,,,http://www.centralparknyc.org/things-to-see-and-do/attractions/alice-in-wonderland.html,,,,,,,,,statue,,,,,,,,,,1959,,,,,,,,,,,,,,,
-72.5349172,40.9917648975452,artwork,Altmans Needle & Fiber Arts,,,,,,,,,,,,,,,,Altmans Needle & Fiber Arts,,,,,,,,,,,,,,,,,,,,,,
-73.9097232,42.0193663975452,artwork,America,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0177933,40.7040008975452,artwork,American Merchant Mariners' Memorial,,,,,,,,,,,Q16150411,,sculpture,,,,,,,Marisol Escobar,,,,,,,,,,,,,,,,,,
-73.1685017,40.8442282975452,artwork,Animal Sculptures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8888161,40.9715476975452,artwork,Armstrong inventor of FM radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0976003,40.7897843975452,artwork,Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6428532,43.0611485975452,artwork,Artwork Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9910185,40.7298950975452,artwork,Astor Place Cube,,,,,,,,,,,Q4705940,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9771802,40.7589481975452,artwork,ATLAS,,,,,,,,,,,Q2869431,,sculpture,,,,,,,Lee Lawrie and Rene Paul Chambellan,,,,,,,,,,,,,,,,,,
-73.9868797,40.6940328975452,artwork,Balanced Cylinders,,,,,,,,,,,,,sculpture,,,,,,,Paul Sisko,,,1984,,,,,,,,,,,,,,,
-74.0114807,40.7132382975452,artwork,Balloon Flower,,,,,,,,,,,,,sculpture,,,,,,,Jeff Koons,,,,,,,,,,,,,,,,,,
-73.9710098,40.7699607975452,artwork,Balto,,,,,,,,,,,Q805807,,statue,,,,,,en:Balto,,,,1925-12-17,,,,,,,,,,,,,,,
-73.9820718,40.5789525975452,artwork,Banksy “Tagging Robot”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9559997,40.7886205975452,artwork,Bertel Thorvaldsen,,,,,,,,,,,Q47812,,statue,,,,,,en:Bertel Thorvaldsen,,,,,,,,,,,,,,,,,,,
-73.9708319,40.7743182975452,artwork,Bethesda Fountain,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8961774,44.3640183975452,artwork,Big Wooden Bear (8'),,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-75.3250555,43.4789135975452,artwork,Boonville Mural,,,,,,,,,,,,,painting,,,,,,,,,,,,,,,,,,,,,,,,,
-77.600833,43.1372713975452,artwork,BoulevART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8649457,40.8656467975452,artwork,Bruce Lee Mural,,,,,,,,,,,,,mural,,,,,,,,,,,,,,,,,,,,,,,,,
-78.87335,42.8897667975452,artwork,Buffalo is a Place,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9983532,40.7269811975452,artwork,Bust of Sylvette,,,,,,,,,,,,,sculpture,,,,,,,Pablo Picasso,,,,,,,,,,,,,,,,,,
-74.0256196,40.6862646975452,artwork,Cabin,,,,,,,,,,,,,sculpture,,,,,,,Rachel Whiteread,,,,,,,,,,,,,,,,,,
-74.0134788,40.7054680975452,artwork,Charging Bull,,,,http://chargingbull.com/,,,,,,,Q860129,,sculpture,,limited,,,,en:Charging Bull,Arturo Di Modica,,,,,,,,,,,,,,,,,,
-73.9727725,40.7699059975452,artwork,Christopher Columbus,,,,,,,,,,,Q6022984,,statue,,,,,,en:Christopher Columbus (Sunol),Jeronimo Sunol,,,1894,,,,,,,,,,,,,,,
-77.6811479,43.0847575975452,artwork,Cloaked Intentions,,,,,,,,,,,,,sculpture,,,,,,,Albert Paley,,,,,,,,,,,,,,,,,,
-74.0105215,40.7034838975452,artwork,Coenties Ship,,,,,,,,,,,,,sculpture,,,,,,,Bryan Hunt,,,2006,,,,,,,,,,,,,,,
-73.8423197,40.7465064975452,artwork,Column of Jerash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6305949,43.1272361975452,artwork,Commerce Statue,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9283375,40.7063270975452,artwork,Cotton Candy Machine,,,,,,,,,,,,,,,,Cotton Candy Machine,,,,,,,,,,,,,,,,,,,,,,
-73.8989883,40.8868304975452,artwork,Coyote,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9615238,40.8086544975452,artwork,Curl,,,,http://www.wikicu.com/Curl,,,,,,,,,sculpture,,,,,,,Clement Meadmore,,,1968,,,,,,,,,,,,,,,
-73.974118,40.7747533975452,artwork,Daniel Webster,,,,,,,,,,,Q18148326,,statue,,,,,,en:Daniel Webster (Ball),Thomas Ball,,,1876,,,,,,,,,,,,,,,
-73.9825535,40.7717920975452,artwork,Dante Alighieri,,,,https://www.nycgovparks.org/parks/dante-park/monuments/363,,,,,,,,,statue,,,,,,,Ettore Ximenes,,,,,,,,,,,,,,,,,,
-74.0116313,40.7095070975452,artwork,Double Check,,,,http://daytoninmanhattan.blogspot.com/2012/03/john-seward-johnson-iis-double-check.html,,,,,,,Q17151124,,sculpture,,,,,,,John Seward Johnson II,,,,,,,,,,,,,,,,,,
-74.0158449,40.7021586975452,artwork,Eagle,,,,,,,,,,,,,statue,,,,,,,,,,1963,,,,,,,,,,,,,,,
-73.9725226,40.7725053975452,artwork,Eagles and Prey,,,,,,,,,,,Q17194240,,sculpture,,,,,,en:Eagles and Prey,Christophe Fratin,,,1863,,,,,,,,,,,,,,,
-74.0764891,40.6268529975452,artwork,"Eyes, 2017",Bay Street,,,,,,,,,,,,sculpture,,,,,,,Karol Fitzhugh,,,,,,,,,,,,,,,,,,
-74.0134638,40.7055074975452,artwork,Fearless Girl,,,,,,,,,,,Q28916452,,sculpture,,,,,,en:Fearless Girl,Kristen Visbal,,,,,,,,,,,,,,,,,,
-73.9721367,40.7706639975452,artwork,Fitz-Greene Halleck,,,,,,,,,,,Q18148488,,statue,,,,,,en:Fitz-Greene Halleck (sculpture),,,,1877,,,,,,,,,,,,,,,
-77.4733322,43.0044955975452,artwork,FLTG Golfball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3386772,43.1724611975452,artwork,For Euler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8514326,40.7482782975452,artwork,Forms in Transit,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-74.060197,41.4195360975452,artwork,Forrest Myers,,,,,,,,,,,,,,,,Forrest Myers,,,,,,,,,,,,,,,,,,,,,,
-73.7600171,42.6485146975452,artwork,Francois Stahly's Labyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8458849,40.7478868975452,artwork,Freedom of the Human Spirit,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8468096,40.7472743975452,artwork,Free Form,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9717355,40.7731728975452,artwork,Friedrich Schiller,,,,,,,,,,,Q22670,,statue,,,,,,en:Friedrich Schiller,,,,,,,,,,,,,,,,,,,
-73.9923001,40.7221648975452,artwork,Gallery 11R,,,,,,,,,,,,,,,,Gallery 11R,,,,,,,,,,,,,,,,,,,,,,
-73.9880814,40.7542354975452,artwork,Garment Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0604545,41.4306940975452,artwork,Gazebo for Two Arnarchists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9756291,40.6869403975452,artwork,General Edward Fowler,,,,,,,,,,,,,statue,,,,,,en:Edward Brush Fowler,,,,,,,,,,,,,,,,,,,
-73.7592741,42.6515863975452,artwork,Geometric Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.630114,43.1281749975452,artwork,George Eastman Statue,,,,,,,,,,,,,statue,,,,,,,Marc Mellon,,,,,,,,,,,,,,,,,,
-73.842036,40.7490906975452,artwork,George Washington as Master Mason,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9766904,40.7730136975452,artwork,Giuseppe Mazzini,,,,http://www.centralparknyc.org/things-to-see-and-do/attractions/giuseppe-mazzini.html,,,,,,,Q18148560,,bust,,,,,,en:Giuseppe Mazzini (sculpture),Giovanni Turini,,,1878,,,,,,,,,,,,,,,
-74.2587271,41.7898809975452,artwork,Gnome Chomsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8451434,41.0258981975452,artwork,Great Hunger Memorial,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9639416,40.7774949975452,artwork,Group of Bears,,,,http://www.centralparknyc.org/things-to-see-and-do/attractions/group-of-bears.html,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0089367,40.7075343975452,artwork,Group of Four Trees,,,,,,,,,,,Q15730925,,sculpture,,,,,,,Jean Debuffet,,,,,,,,,,,,,,,,,,
-73.9389456,40.8011976975452,artwork,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6294131,43.1259420975452,artwork,Hajim Statue,,,,,,,,,,,,,statue,,,,,,,Marc Mellon,,,,,,,,,,,,,,,,,,
-73.9677251,40.7744790975452,artwork,Hans Christian Andersen,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8888533,40.9711498975452,artwork,Henry Hudson,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3739286,40.8924162975452,artwork,Heron Statue,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7806477,40.6436077975452,artwork,History of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9868157,40.6157425975452,artwork,Holden Matarazzo,20th Avenue,6618,11204,,Brooklyn,,,,,,,,mural,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9821345,40.7629651975452,artwork,Hope,,,,,,,,,,,,,,,,,,,,Robert Indiana,,,,,,,,,,,,,,,,,,
-73.9752105,40.7757584975452,artwork,Imagine,,,,,,,,,,John Lennon memorial,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
-73.9731523,40.7703769975452,artwork,Indian Hunter,,,,,,,,,,,Q17194242,,,,,,,,,John Quincy Adams Ward,,,1864,,,,,,,,,,,,,,,
-73.3062381,40.8944761975452,artwork,Inferno,,,,,,,,,,,,,,,,,,,,Dave Campbell,,,,,,,,,,,,,,,,,,
-73.7997353,40.7027656975452,artwork,Jamaica Center Station Riders,,,,,,,,,,,,,sculpture,,,,,,,Sam Gilliam,,,,,,,,,,,,,,,,,,
-73.9616387,40.8134611975452,artwork,Japanese Lantern,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7872591,40.6532536975452,artwork,JFK,,,,,,,,,,,,,landart,,,,,,,,,,,,,,,,,,,,,,,,,
-75.8544352,42.9321447975452,artwork,Jitterbugs,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-76.1328725,43.0366786975452,artwork,Job,,,,,,,,,,,,,sculpture,,,,,,,,,,,,,,,,,,,,,,,,,
-74.014568,40.7037257975452,artwork,John Ericsson,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9592113,40.7843754975452,artwork,John Purroy Mitchel,,,,,,,,,,,Q3182321,,statue,,,,,,en:John Purroy Mitchel,,,,,,,,,,,,,,,,,,,
-74.0109124,40.7089768975452,artwork,Joie de Vivre,,,,,,,,,,,Q20011302,,sculpture,,,,,,,Mark di Suvero,,,2006,,,,,,,,,,,,,,,
-73.9666796,40.7789243975452,artwork,King Jagiello Monument,,,,,,,,,,,Q649312,,equestrian_statue,,,,,,en:King Jagiello Monument,,,,,,,,,,,,,,,,,,,
-78.8737542,42.9317221975452,artwork,Lincoln,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6248905,40.7119624975452,artwork,Lost and Found: An Excavation Project,,,,,,,,,,,,,sculpture,,,,,,,Ron Baron,,,2005,,,,,,,,,,,,,,,
-73.9780253,40.7628768975452,artwork,Love,,,,,,,,,,,Q2918411,,,,,,,,en:Love (sculpture),Robert Indiana,,,,,,,,,,,,,,,,,,
-73.9718893,40.7728773975452,artwork,Ludwig van Beethoven,,,,,,,,,,,Q255,,statue,,,,,,en:Ludwig van Beethoven,Henry Bearer,,,1884,,,,,,,,,,,,,,,
-74.0070508,40.7163748975452,artwork,Marine and Maritime Art,,,,,,,,,,,,,,,,Marine and Maritime Art,,,,,,,,,,,,,,,,,,,,,,
-77.6308466,43.1292293975452,artwork,Martin Brewer Anderson Statue,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9814519,40.7591163975452,artwork,McGraw-Hill Sun Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9903291,40.7344122975452,artwork,Metronome,,,,,,,,,,,Q6824866,,installation,,,,,,en:Metronome (public artwork),Jones/Ginzel,,,1999-10-26,,,,,,,,,,,,,,,
-74.9746445,44.6629436975452,artwork,Minerva Statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9695385,40.7724131975452,artwork,Mother Goose,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,
